Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,
2023-01-03,123.33064270019531,368.1686706542969,129.07955877586164,373.59228498534856,122.44315755676651,365.2779822862928,128.46818597294893,371.6007232288444,112117500,74850700
2023-01-04,124.60270690917969,371.01104736328125,126.87072372434358,373.0606137298058,123.34050912530462,367.37594957888035,125.1253349737568,370.4502991286672,89113600,85934100
2023-01-05,123.28133392333984,366.7765197753906,125.99308946159266,369.1547871931726,123.02495518012978,366.1771216826261,125.36199059273537,369.03877846602404,80962700,76970500
2023-01-06,127.8173599243164,375.18743896484375,128.4780403774463,376.31858294725674,123.15314460938177,366.8054847376711,124.257571392045,369.8991586614532,87754700,104189600
2023-01-09,128.33998107910156,374.9747619628906,131.55465346679887,380.6207753767295,128.08360234953716,374.7911011584575,128.65553802002677,377.40138587341505,70790800,73978100
2023-01-10,128.9119415283203,377.60443115234375,129.4345696464241,377.67211274573543,126.33823803970584,373.43761710059596,128.44847658636624,374.3850708968416,63896200,65358100
2023-01-11,131.63357543945312,382.38031005859375,131.65328646822576,382.45766887856325,128.64571450243,378.37786148565715,129.4247214433815,379.1996293012979,69458900,68881100
2023-01-12,131.55467224121094,383.7724609375,132.39284227281698,385.2516311546542,129.6120678053339,379.3833069228364,132.01813716022232,383.49211635979185,71379600,90157700
2023-01-13,132.8858642578125,385.26129150390625,133.04364272167805,385.84136459387025,129.82898551497536,380.2727101362045,130.1938350469048,380.5434069776886,57809700,63903900
2023-01-17,134.0494842529297,384.5555419921875,135.38070076927318,386.93383876956204,132.26465833803292,383.86913739566575,132.95492042575748,385.24197609245294,63646600,62677300
2023-01-18,133.32962036132812,378.48419189453125,136.68233001992917,386.8274969740856,133.15211582478094,378.2811766242496,134.91723044564642,385.7543867559945,69672800,99632300
2023-01-19,133.3887939453125,375.7288513183594,134.35516079708475,378.0877639718037,131.90965456039046,374.39469212247235,132.21534095915428,376.42490359057,58280400,86958900
2023-01-20,135.95263671875,382.7283630371094,136.10055969629155,382.8830511722103,132.3534032973474,375.47752266281964,133.3986594670003,377.1403832354732,80223600,91806400
2023-01-23,139.1475830078125,387.320556640625,141.32685514540398,389.2734390000284,135.9822178760608,382.57366966676494,136.19915953850284,383.54044837010724,81760300,84178800
2023-01-24,140.5478057861328,386.9048156738281,141.169049065949,387.823237660935,138.34882305195495,384.4298647659786,138.35867856319985,385.62866081404076,66435100,59524900
2023-01-25,139.8871307373047,387.04986572265625,140.44919583129123,387.38824417476695,136.87954456914778,380.4854299651901,138.93061947978296,382.7960452634292,65799300,84800300
2023-01-26,141.95794677734375,391.3037109375,142.24390711048304,391.46807631163625,139.9265826744515,386.74051391886957,141.17892492583348,389.73753403557015,54105100,72287400
2023-01-27,143.90052795410156,392.20281982421875,145.18245171809102,394.6004418898706,141.09017225065355,390.0372447350802,141.16906148730033,390.24993725303113,70555800,68346200
2023-01-30,141.01129150390625,387.2818603515625,143.5258315295515,391.6710437344802,140.863383580403,386.9821613268885,142.94404030165967,389.41843293177686,64015300,74202000
