Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY
Date,,,,,,,,,,
2022-04-08,341.71307373046875,427.11614990234375,345.56915383441867,430.03630620090996,341.0769247510717,425.5606359079385,344.81556564252395,427.49786415990144,61956100,79272700
2022-04-11,333.6289978027344,419.8157958984375,338.38546461755135,424.6636285518601,333.2864468903494,419.3100179102482,337.4654843923109,423.81428731574823,66107400,89770500
2022-04-12,332.2197265625,418.2602844238281,340.28420499554875,425.3793564696617,330.83975597999074,416.69521796111775,338.39532116594785,422.8313618680801,72790200,84363600
2022-04-13,338.97271728515625,423.05078125,340.0297000383858,423.8142096921054,331.837986631317,417.83075846097853,332.5622150017233,418.01207781249104,61367800,74070400
2022-04-14,331.2214050292969,417.7831115722656,339.57951066540426,424.405957589073,331.0060898533182,417.6781234016021,339.0608009052126,423.27986116881056,73519400,97869500
2022-04-18,331.47589111328125,417.9548645019531,333.7758419877369,419.6535177123126,328.63766720902964,415.70270086047105,330.1644367538699,416.84787276263904,58560600,66002500
2022-04-19,338.8846130371094,424.7017517089844,339.4620423532892,425.42700002758676,329.8022798002001,417.67808738170305,330.8299026757229,417.8498544211407,56515700,77821000
2022-04-20,333.9421691894531,424.3868408203125,340.1569192427307,427.1161545814654,332.71879437060124,423.21307019353713,339.6969291161404,426.49586526577247,65500000,65224400
2022-04-21,327.0325012207031,418.0407409667969,340.4602623995575,429.4446399428074,326.10275441929525,417.12462093429156,337.83735435220495,428.04181749165986,75801000,85417300
2022-04-22,318.468994140625,406.5700378417969,328.41259035275755,418.05979050354813,318.0383637240226,405.9974519359689,327.1892152754906,416.94327565396605,82562100,132471800
2022-04-25,322.5599365234375,408.9272155761719,322.87312769520906,409.0989826342427,315.56223741743526,399.6991192062634,316.8345653524246,404.3084057916933,101755900,119647700
